mercante,1,1,0,4,4,1,5,0,1,0,1,9,2,0,0,0,0,0,5,1,0,2,5,2,1,0,1,0,8,2,3,1,1,0,23,28,0,0,19,0,1,2,20,2,2,1,25,4,1,0,1,0,0,0,1
modello,1,1,1,0,0,1,3,4,2,0,1,6,1,0,2,0,0,1,5,0,0,9,4,0,0,2,2,0,1,6,0,2,5,0,4,12,2,0,2,1,0,1,4,0,4,0,6,3,1,0,2,3,0,0,2
funzionario,0,2,2,0,0,0,1,0,2,2,4,0,0,0,0,0,0,2,4,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,0,0
interprete,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,2,0,0,5,0,0,10,1,0,0,4,1,0,0,15,0,0,1,0,0,1,0,1
disegnatore,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scultore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,0,3,1,0,0,2,0,0,0,1,5,0,0,8,1,0,0,0,27,0,0,0
profeta,0,3,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,0,2,15,6,0,0,1,0,0,0,42,0,0,0,1,0,0,0,1,0,0,0,0
causidico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
redattore,0,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
pastore,0,2,0,0,0,0,2,0,0,0,0,0,1,0,4,2,0,0,2,3,4,1,11,9,53,1,2,0,1,0,0,4,5,0,2,20,1,0,11,0,1,0,8,3,0,0,5,1,0,0,0,0,8,0,0
attrice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
fisiologo,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
deputato,0,2,0,1,1,1,18,1,17,2,0,1,2,0,0,0,0,2,3,8,1,51,46,0,0,2,5,0,1,0,43,7,2,0,1,6,0,1,18,0,0,0,4,1,61,0,3,17,1,1,0,0,0,0,0
poeta,5,10,4,7,2,2,5,30,20,1,3,5,1,0,49,32,8,1,7,7,5,6,5,5,9,8,5,1,6,31,3,55,5,3,43,24,4,0,15,0,19,3,28,45,8,2,73,18,1,0,2,1,3,2,0
fantesca,0,1,0,0,1,1,1,0,3,1,13,2,0,0,0,0,0,1,1,0,0,2,0,1,1,3,0,0,1,0,1,8,3,0,4,9,2,0,0,0,0,2,10,0,2,0,5,0,1,0,11,3,0,0,0
inviato,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0
archeologo,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
regina,1,13,4,2,0,0,4,4,0,1,1,0,2,3,8,1,7,2,67,4,6,2,9,1,4,7,10,0,1,3,0,14,6,4,5,12,0,0,145,1,2,1,40,5,4,0,18,4,0,4,0,0,4,0,0
educatore,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
lavorante,1,1,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
filosofo,2,1,0,1,1,1,2,8,2,7,6,3,1,1,0,0,1,0,3,51,3,0,1,0,0,5,1,1,0,4,0,5,0,0,12,37,2,0,1,0,1,0,19,9,10,4,22,2,1,0,2,0,0,0,0
