alloggio,1,5,0,0,15,3,1,2,8,4,3,0,0,2,0,0,0,1,5,0,0,4,2,0,2,4,2,0,0,0,1,7,3,0,0,4,0,0,6,1,0,0,5,0,4,2,19,2,5,0,1,0,2,0,0
collegio,1,1,0,0,2,7,4,6,63,1,1,0,0,3,0,2,0,3,7,24,7,45,12,7,0,3,59,0,3,5,14,14,1,0,6,3,12,0,7,0,1,1,35,0,7,0,50,3,88,0,0,0,1,3,0
industria chimico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reggia,0,0,4,1,0,0,1,0,1,1,4,1,0,0,5,3,3,1,2,0,0,1,3,0,2,1,0,1,1,1,1,1,1,1,4,5,0,0,35,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
corte,5,56,7,0,2,0,8,8,20,5,16,3,2,6,1,9,3,5,66,25,17,47,3,11,6,19,8,0,4,8,5,36,7,8,21,235,5,2,43,2,7,0,109,13,19,1,71,44,17,1,8,0,0,11,5
soffitta,0,0,1,0,10,0,0,1,49,0,4,9,2,0,0,0,0,7,6,0,3,0,1,0,0,0,2,0,1,1,0,5,0,0,0,1,0,0,3,0,0,0,2,0,2,0,2,0,1,0,1,0,1,0,0
cattedrale,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,2,0,1,3,0,0,6,5,2,2,0,0,0,0,0,0,2,3,0,5,1,0,0,1,0,0,1,1,0,0,0,1,2,1,0,0,0,5,0,0
residenza,1,2,1,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,11,0,4,0,1,0,0,3,0,0,0,0,0
banca,4,0,3,0,19,0,2,12,10,92,0,0,0,0,0,1,0,1,9,1,0,9,22,15,1,0,11,5,1,2,3,5,3,0,0,3,2,0,0,2,0,3,0,0,7,9,2,2,0,0,9,1,1,0,0
domicilio,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,6,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,2,0,1,0,2,1,1,2,0,2,2,1,2,0,0,0,0
basilica,1,0,2,0,0,0,4,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
bottega,13,0,9,0,36,25,15,7,4,9,2,24,6,3,5,0,0,26,22,9,21,17,12,29,0,0,28,1,9,12,0,15,18,0,6,16,0,1,46,0,1,1,13,2,11,6,21,12,8,4,2,0,4,0,3
libreria,0,0,2,0,0,0,0,2,0,0,0,3,0,0,1,0,0,5,1,2,1,1,1,32,0,3,4,0,0,0,0,14,0,0,1,2,0,0,6,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0
mensa,0,0,1,0,2,4,1,1,2,0,2,3,0,0,5,8,6,0,1,1,4,2,3,5,2,4,2,2,0,1,0,4,18,5,9,21,1,0,20,0,0,0,11,0,2,0,20,3,0,0,0,0,0,0,0
trattoria,42,5,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,1,3,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0
locanda,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,3,1,1,0,0,0,0,0,0,0
questura,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,3,1,0,0,3,1,0,4,14,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,0,0,0,0,1
