editore,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,1,2,7,0,0,0,3,0,1,1,0,0,0,0,0,0
attore,0,24,2,0,0,0,1,1,9,1,0,1,0,0,0,28,0,0,1,10,1,1,4,6,2,0,1,1,1,2,3,9,2,2,14,6,0,1,0,0,0,1,11,4,2,3,17,3,10,3,9,2,0,0,0,1
mercante,1,1,0,3,0,4,1,5,0,1,0,1,9,2,0,0,0,0,0,5,1,0,2,5,2,1,0,1,0,6,3,1,1,23,29,0,0,16,3,0,1,2,20,1,2,1,25,4,7,1,0,1,0,0,0,1
modello,1,1,1,0,0,0,1,3,4,2,0,1,6,1,0,2,0,0,1,5,0,0,8,4,0,0,2,2,0,1,0,2,5,4,12,2,0,0,2,1,0,1,4,0,3,1,6,3,13,1,0,2,3,0,0,1
funzionario,0,2,2,0,0,0,0,1,0,2,2,4,0,0,0,0,0,0,2,3,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,3,0,0,0,0,0,0
interprete,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,5,0,0,1,9,1,0,0,4,1,0,0,15,0,0,0,1,0,0,1,0,1
disegnatore,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scultore,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,1,0,0,0,2,0,0,0,1,6,0,0,8,1,1,0,0,0,27,0,0,0
profeta,0,3,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,15,6,0,0,1,0,0,0,0,41,0,0,0,1,0,0,0,0,1,0,0,0,0
causidico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
redattore,0,1,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
pastore,0,2,0,0,5,0,0,2,0,0,0,0,0,1,0,4,2,0,0,3,3,4,1,12,9,54,1,2,0,1,0,4,5,2,19,1,0,10,2,0,1,0,8,3,0,0,5,1,1,0,0,0,0,8,0,0
artista,7,4,9,0,0,10,3,30,16,6,6,0,17,0,0,3,10,0,4,16,4,5,1,4,3,0,12,3,0,10,1,31,17,3,3,7,0,2,14,5,0,2,4,36,9,5,36,11,9,0,4,5,15,0,0,0
attrice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
fisiologo,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
deputato,0,2,0,1,5,1,1,19,2,17,2,0,1,2,0,0,0,0,2,1,7,1,48,46,0,0,1,6,0,1,45,7,2,1,6,0,0,3,16,0,0,0,4,1,63,0,3,18,7,1,1,0,0,0,0,0
poeta,10,20,8,6,0,4,4,10,60,40,2,6,10,2,0,98,64,16,2,14,14,12,10,10,10,18,16,8,2,12,6,112,10,88,48,8,0,14,16,0,38,6,54,92,14,4,148,38,18,2,0,4,2,6,4,0
